Name,Slug,Description,Parent Category Slug
Level 1,Level-1,,
Level 1a,level-1a,,Level-1
Level 2,Level-2,,
Level 2a,level-2a,,Level-2
Level 3,Level-3,,
Level 3a,level-3a,,Level-3
Level 4,Level-4,,
Level 4a,level-4a,,Level-4
